job,project,services,address,latitude,longitude,blurb,image,video
2858HPA,1043 W Fulton,,,41.886469,-87.653963,,https://www.tangram3ds.com/01/wp-content/uploads/2020/01/3d-visualization-office-1043WFulton-01.jpg,
2774NOR,The Beat,,135 Morrisey Boulevard Boston MA,42.3155726,-71.0488811,,https://www.tangram3ds.com/01/wp-content/uploads/The-BEAT-Logo.jpg,"<iframe src=""https://player.vimeo.com/video/392960695?color=a5001e&title=0&byline=0&portrait=0"" width=""600"" height=""338"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>
<p><a href=""https://vimeo.com/392960695"">The BEAT, Boston</a> from <a href=""https://vimeo.com/tangram3ds"">Tangram 3DS</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>"
2761GEN,American Dream,,,40.808268,-74.068292,"Just outside New York City, American Dream in East Rutherford, NJ is North America’s second-largest retail and entertainment complex. We produced interior VRs and renderings of the mall’s DreamWorks Water Park and Nickelodeon Universe attractions for our client’s internal use.",https://www.tangram3ds.com/01/wp-content/uploads/2019/11/3d-visualization-office-AmericanDream-08.jpg,
2680HPA,318 N Carpenter,,,41.887353,-87.653695,,https://www.tangram3ds.com/01/wp-content/uploads/2019/09/318-North-Carpenter-Chicago-Tangram-3DS-400x250.jpg,
2673GEN,730 3rd Ave,,,40.752952,-73.973677,,https://www.tangram3ds.com/01/wp-content/uploads/vr-office-730ThirdAve-01.png,
2593DSC,180 Maiden,,,40.705594,-74.005422,,https://www.tangram3ds.com/01/wp-content/uploads/2020/01/3d-visualization-office-180Maiden-01.jpg,
2576ARC,130 Townsend,,,37.780423,-122.391646,,https://www.tangram3ds.com/01/wp-content/uploads/3d-visualization-mixeduse-130Townsend-01.jpg,
2567SMM,321 Harrison,,321 Harrison Ave Boston MA,42.3462501,-71.0639837,,https://www.tangram3ds.com/01/wp-content/uploads/2018/02/3d-visualization-office-321HarrisonAvenue-05.jpg,
2527JLL,Broadway Starbucks,,,40.720235,-74.000993,,https://www.tangram3ds.com/01/wp-content/uploads/3dvisualization-retail-444BroadwayStarbucks-02.jpg,
2464DSC,114 W 41st,,,40.754264,-73.984803,,https://www.tangram3ds.com/01/wp-content/uploads/3d-visualization-office-114thW41st-04.jpg,
2456EDW,300 W 43rd,,,40.757912,-73.989558,,https://www.tangram3ds.com/01/wp-content/uploads/3d-visualization-office-303W42nd300W43rd-02.jpg,
2326TLN,142 Beacon Street,rendering,,42.333589,-71.164121,,https://www.tangram3ds.com/01/wp-content/uploads/3d-visualization-residential-142BeaconStreet-02.jpg,
2706JAC,Lahey Helipad Animation,"rendering, video",31 Burlington Mall Rd Burlington MA,42.487477,-71.202686,,,
2644BKF,Halley Rise,"rendering, video","Edmund Halley Dr Reston, VA",38.9498861,-77.362963,,,
2598SIC,Core-Mark Center of Excellence,"rendering, video, vr",westlake texas,32.991235,-97.1950138,,,
2511RED,McIntyre Portsmouth VR,"rendering, vr","80 Daniel St, Portsmouth, NH 03801",43.077823,-70.7561537,,,
2506LUP,Riverwalk Phase 1,"rendering, vr",280 merrimack st lawrence ma,42.7028963,-71.1504777,,,
2478RDP,Hobson’s Landing,"rendering, vr, video, web",commercial st portland me,43.653646,-70.2557442,,,
2468JLL,Exchange South End,"rendering, video",540 albany st boston ma,42.337019,-71.0673264,,,
2434COP,Portsmouth 3d Model R01,"rendering, web",market street portsmouth nh,43.0842383,-70.7726996,,,
2425SUE,Brooklyn-Video,"rendering, video",8949 bay pkwy brooklyn ny,40.5931874,-74.0000083,,,
2285SAS,Waterstone at the Circle-Video,"rendering, video",cleveland circle boston ma,42.336197,-71.1489856,,,
2237HPA,CRM Tower,rendering,1520 n fremont st chicago il,41.9093454,-87.6514586,,,
2231JSA,Deer Street Phase 1,rendering,deer st portsmouth nh,43.0784899,-70.7610354,,,
2191HPA,Essex Amenities R01,rendering,808 south michigan ave chicago il,41.8714913,-87.6245734,,,
2172CAL,Watsonville 360 VR,"rendering, vr, video",watsonville ca,36.910231,-121.7568946,,,
2153DRS,St. Johns Yacht Harbor,rendering,"2408 Maybank Hwy, Johns Island, SC 29455",32.7533962,-80.0132736,,,
